ID,Tên công việc,Mô tả,Loại công việc,Loại lương,Yêu cầu,Danh sách kỹ năng,Lĩnh vực
1,Lập trình web bán hàng,Cần lập trình viên có ít nhất 2 năm kinh nghiệp với các công nghệ có liên quan,1,2,,"['HTML/CSS', 'MongoDB', 'Node.JS']",IT
2,Thiết kế giao diện website,Cần người có kinh nghiệm về Frontend,2,1,,['HTML/CSS'],IT
1002,Lập trình web bán hàng,Cần có kỹ năng,1,2,,"['HTML/CSS', 'Java', 'OOP']",Finance
2002,Dự án demo,Mô tả dự án,1,2,,"['HTML/CSS', '.NET']",IT
3010,Lập bảng tính (chứa công thức) số liệu trong excel,Tôi cần lập 1 trang tính Excel chứa công thức tính toán các số liệu nhập vào để ra 1 kết quả cụ thể,1,2,Từng làm dự án tương tự,"['Python', 'Microsoft Excel']",Phần mềm
3012,Thiết kế App quản lý bảo trì,"Thiết kế APP sử dụng cho công ty cần có các chức năng chính như sau:
1) Quản lý tài sản.
2) Quản lý công việc.
3) Quản lý kế hoạch bảo trì.
4) Báo cáo, ghi nhận các thông tin tiến độ sau bảo trì.
5) Xuất được dữ liệu.
6) Bảo trì, chỉnh sửa app theo yêu cầu.
7) Sử dụng 2 ngôn ngữ Việt, Anh",1,2,không yêu cầu,"['Java', 'OOP']",Phần mềm
3013,Seeding trên mạng xã hội,"- Seeding trên trang mạng xã hội theo yêu cầu của nhà tuyển dụng
- Đã có mẫu, chỉ cần follow theo là có thể làm được",2,1,không yêu cầu,['Google Sheets'],Truyền thông đa phương tiện
3014,"Chuyên viên Email, Zalo Marketing & Digital Marketing","- Quản lý lịch email, zalo gửi số lượng và chủ đề, xác định nhịp dựa trên kiểm tra hiệu suất, các phương pháp hay nhất và xu hướng của ngành.
- Quản lí và thiết lập phễu email marketing, zalo marketing trên hệ thống.
- Quản lý quy trình email, zalo marketing một cách hiệu quả, quản lý các chương trình đạt đến chỉ số nhất định về tỉ lệ mở, tỉ lệ xem … góp phần gia tăng tỉ lệ mua hàng, tỉ lệ chuyển đổi.
- Kiểm tra các mẫu email, zalo và cấu trúc nhắn tin để xác định phương pháp tiếp cận sáng tạo tối ưu. Tạo nội dung email cho người dùng cũ.
- Xác định và phân tích cơ sở dữ liệu, hành vi / kỳ vọng của khách hàng để tăng cường cơ hội kinh doanh.
- Lập kế hoạch truyền thông xã hội để phát triển các chiến dịch tiếp thị các kênh khác.",2,1,Yêu cầu ít nhất 2 năm kinh nghiệm,"['Tiếng Anh', 'Microsoft Excel', 'WordPress']",Truyền thông đa phương tiện
3015,FREELANCER FACEBOOK ADS,"1. Mô Tả công việc:
- Thiết lập, triển khai và quản lý các chiến dịch Quảng cáo trên Facebook để thúc đẩy nhận diện thương hiệu, mức độ tương tác và chuyển đổi.
- Theo dõi và phân tích hiệu suất chiến dịch, cung cấp báo cáo chi tiết và thông tin chuyên sâu để tối ưu hóa và cải thiện kết quả.
- Phân bổ và quản lý ngân sách quảng cáo hiệu quả để đảm bảo ROI tốt nhất cho mỗi chiến dịch.
- Làm việc chặt chẽ với nhóm sáng tạo để phát triển các quảng cáo hấp dẫn và nội dung thu hút được đối tượng mục tiêu
- Sử dụng các công cụ và nền tảng phân tích để theo dõi số liệu hiệu suất và đưa ra quyết định dựa trên dữ liệu
- Luôn nắm bắt các xu hướng mới nhất, các phương pháp hay nhất và những thay đổi về thuật toán để đảm bảo các chiến lược của chúng tôi vẫn hiệu quả.
2. Yêu Cầu :
- Có kinh nghiệm làm việc tối thiểu 1 năm cho vị trí tương đương. Từng triển khai ngân sách quảng cáo lớn.
- Có kinh nghiệm triển khai thị trường Global : US, UK, EU...là lợi thế
- Tiếng Anh thành thạo đạt điểm IELTS trên 6.0 hoặc tương đương.
- Đã trực tiếp chi tiêu ngân sách marketing lớn và mang về doanh thu cho công ty (chuẩn bị sẵn case study trong CV xin việc).
- Nhạy bén với xu hướng thị trường, xu hướng marketing, ứng dụng công nghệ-AI.
- Có kỹ năng chuyên môn vững chắc, bao gồm sự quen thuộc với Meta Ads Manager, các công cụ phân tích và chiến lược nhắm mục tiêu đối tượng.
- Phân tích dữ liệu: Hiểu và kiểm soát được các chỉ số quan trọng trong chiến dịch quảng cáo.
- Tư duy cầu tiến và ham học hỏi, mong muốn bứt phá giới hạn và thử thách bản thân ở các lĩnh vực mới, vị trí cao trong công việc.",2,1,Cần khả nằng tư duy phân tích,['Tiếng Anh'],Marketing
3016,Thiết kế Logo cho Công ty xuất khẩu trái cây,"Thiết kế Logo cho Công ty xuất khẩu trái cây
---
Màu sắc: Sử dụng các màu sắc nhẹ nhàng và tự nhiên như xanh lá cây, vàng, cam, đỏ, thể hiện sự tươi mát, sức khỏe và sự tự nhiên.
Biểu tượng: Kết hợp với các biểu tượng thể hiện sự sống khỏe mạnh, tự nhiên, 2 bàn tay nâng niu trái cây.
Phông chữ: Chọn phông chữ rõ ràng, hiện đại, và dễ đọc, cùng với một chút sự mềm mại để tạo cảm giác thân thiện và gần gũi.
Phong cách thiết kế: Sử dụng phong cách tối giản nhưng tinh tế để tạo sự chuyên nghiệp và dễ nhận diện. Phong cách này cũng giúp logo dễ dàng được in trên các sản phẩm và bao bì khác nhau.
Thông điệp: Đảm bảo logo truyền tải được thông điệp về sự kết hợp giữa khoa học và thiên nhiên, một hình ảnh hòa quyện giữa hiện đại và truyền thống của thương hiệu.",1,2,Có kinh nghiệm thiết kế logo,['Adobe Photoshop'],Truyền thông đa phương tiện
3017,Thiết kế video giới thiệu sản phẩm,"Cần thiết kế GIF ngắn giới thiệu sản phẩm số (website, mobileapp)
Ví dụ: https://dribbble.com/shots/24455042-Vet-App-Mobile-Design",1,2,Cần có kỹ năng thiết kế,['Figma'],Truyền thông đa phương tiện
3018,Edit video ngắn tầm 1 phút -2 phút,"Bạn có thể cung cấp dịch vụ này? Thêm vào hồ sơ làm việc.
Công ty Bất Động Sản Hà Đô Phát cần tuyển 02 cộng tác viên media
- Lĩnh vực : bất động sản
-Số lượng : 02
-Lương theo sản phẩm
- Nội dung yêu cầu : edit video ngắn tầm 1 phút - 2 phút
- Yêu cầu : đảm bảo đúng tiến độ , làm việc chuyên nghiệp , trung thực, linh hoạt , nhanh nhẹn, sáng tạo,…",1,2,"Kiến thứ về bất động sản
kỹ năng edit video",['Capcut'],Truyền thông đa phương tiện
3019,Chụp ảnh sản phẩm,"Mô tả dự án:
Sản phẩm: Bộ sản phẩm nến thơm mùa đông, gồm 11 sản phẩm và 7 combo.
Phong cách chụp ảnh: Ấm áp, tinh tế, tối giản. Freelancer cần thể hiện rõ nét thiết kế và chất liệu của sản phẩm qua các góc chụp, tạo cảm giác ấm cúng phù hợp với mùa đông.
Số lượng ảnh:
Mỗi sản phẩm và combo sẽ chụp khoảng 5 tấm ảnh.
Tổng số ảnh dự kiến: 90 tấm.
Yêu cầu về người mẫu: Không cần người mẫu, chỉ tập trung chụp sản phẩm.
Yêu cầu cụ thể cho freelancer:
Chuẩn bị bối cảnh và phông nền:
Freelancer tự chuẩn bị bối cảnh chụp, có thể sử dụng phông nền đơn sắc, vật dụng trang trí tối giản nhằm làm nổi bật sản phẩm.
Sử dụng ánh sáng tự nhiên hoặc ánh sáng dịu nhẹ, tránh đổ bóng mạnh để tạo cảm giác ấm áp.
Chụp ảnh sản phẩm:
Chụp sản phẩm theo nhiều góc độ (toàn cảnh, chi tiết, cận cảnh) để thể hiện hết các yếu tố thiết kế.
Có thể chụp nhóm sản phẩm để thể hiện combo hoặc làm nổi bật sự kết hợp giữa các sản phẩm.
Thời gian hoàn thành:
Hạn chót để bàn giao toàn bộ hình ảnh là trước ngày 31/10.
Hậu kỳ:
Không yêu cầu chỉnh sửa hậu kỳ. Freelancer cần bàn giao ảnh ở chất lượng cao, định dạng phù hợp cho quảng cáo, website và mạng xã hội.
Bản quyền ảnh:
Toàn quyền sử dụng hình ảnh cho mục đích quảng cáo, website, mạng xã hội của thương hiệu nến thơm.
Thời gian & Địa điểm:
Freelancer tự chuẩn bị địa điểm chụp (studio, phông nền,...).
Yêu cầu báo giá:
Vui lòng cung cấp báo giá chi tiết, bao gồm phí chụp ảnh và các khoản chi phí phát sinh (nếu có).",1,1,"- kỹ năng xử dụng mạng xã hội
- Kỹ năng chụp ảnh",['Adobe Photoshop'],Truyền thông đa phương tiện
3020,"Chụp ảnh, quay clip resort ở Mũi Né","Mình bên agency, cần tìm người quay chụp chuyên nghiệp cho khách hàng là resort 5 sao ở Mũi Né. Bạn nào làm được thì nhắn mình nhé.",1,2,Kỹ năng chụp ảnh và làm clip,['Adobe Photoshop'],Truyền thông đa phương tiện
3021,Mình cần quay chụp không gian nội thất nhà ở,"Mình cần tìm bạn quay chụp không gian nội thất nhà ở
- Chụp ảnh và xử lý ảnh
- Quay dựng video dưới 10p",1,2,"- video editing
- chụp ảnh
- xử lý ảnh",['Adobe Photoshop'],Truyền thông đa phương tiện
3022,Chụp ảnh sản phẩm tiệm trà,Cần tìm 1 team 2 - 3 người chụp ảnh khoảng 40 sản phẩm cho tiệm trà.,1,1,Kỹ năng chụp ảnh tốt,['Adobe Photoshop'],Truyền thông đa phương tiện
